Region,Country,Total Revenue,Total Cost,Total Profit
Asia,Taiwan,789756.99,547602.21,242154.78
Asia,Kazakhstan,1875031.60,1170939.90,704091.70
Europe,Monaco,229706.56,75335.68,154370.88
Europe,Vatican City,714190.40,406605.92,307584.48
Australia and Oceania,Palau,5223355.41,4210704.16,1012651.25
Europe,Albania,206312.60,138222.92,68089.68
Europe,Ireland,883310.24,289694.72,593615.52
Asia,Nepal,1050818.46,671069.28,379749.18
Central America and the Caribbean,Haiti,3551048.13,2862606.88,688441.25
Asia,India,103672.80,59023.44,44649.36
Sub-Saharan Africa,Niger,1479347.60,923838.90,555508.70
Europe,Kosovo,581263.76,403037.04,178226.72
Europe,Romania,794793.44,260664.32,534129.12
Sub-Saharan Africa,Democratic Republic of the Congo,53428.70,35795.54,17633.16
Middle East and North Africa,Kuwait,367548.50,276397.00,91151.50
Sub-Saharan Africa,Mozambique,3990235.62,3449238.02,540997.60
Australia and Oceania,Kiribati,5875429.84,4418331.68,1457098.16
Sub-Saharan Africa,Gabon,993095.25,800564.00,192531.25
Sub-Saharan Africa,South Africa,3349826.40,2017634.46,1332191.94
Sub-Saharan Africa,Malawi,1009637.92,331125.76,678512.16
Europe,Moldova ,3467042.04,2794887.04,672155.00
North America,Canada,1790789.20,1118331.30,672457.90
Europe,Andorra,1030255.38,890572.98,139682.40
Sub-Saharan Africa,Djibouti,144335.18,100079.22,44255.96
Europe,Finland,953096.00,574059.40,379036.60
Europe,Poland,317676.96,104186.88,213490.08
Sub-Saharan Africa,Mali,51566.56,32202.84,19363.72
Asia,Brunei,21944.16,16275.84,5668.32
Asia,Nepal,2043035.60,1230541.09,812494.51
Australia and Oceania,Federated States of Micronesia,214236.75,143531.85,70704.90
Sub-Saharan Africa,South Africa,954693.06,609682.08,345010.98
Asia,Kyrgyzstan,1610816.80,1005940.20,604876.60
Asia,Maldives,5424347.59,4079117.18,1345230.41
Europe,Liechtenstein,781461.28,256291.84,525169.44
Sub-Saharan Africa,Sudan,55205.61,40945.64,14259.97
Europe,Albania,2285266.56,1427127.84,858138.72
Sub-Saharan Africa,Comoros,1193480.76,762175.68,431305.08
Middle East and North Africa,Pakistan,3989963.67,3216429.92,773533.75
Middle East and North Africa,Somalia,1896817.44,1639646.24,257171.20
Asia,Kyrgyzstan,3640263.90,2934526.40,705737.50
Europe,Kosovo,431889.90,289352.58,142537.32
Sub-Saharan Africa,Namibia,2953286.00,1778794.15,1174491.85
Europe,France,4881712.35,3671054.70,1210657.65
Sub-Saharan Africa,Namibia,125619.01,87101.79,38517.22
North America,Canada,1495233.30,851272.59,643960.71
Central America and the Caribbean,Haiti,40585.50,30102.00,10483.50
Central America and the Caribbean,Honduras,4222477.60,2543241.14,1679236.46
Australia and Oceania,Tonga,172123.38,119347.02,52776.36
North America,Greenland,5102909.72,3837395.44,1265514.28
Australia and Oceania,Tuvalu,644192.76,411391.68,232801.08
Europe,Poland,1412541.90,804194.37,608347.53
Australia and Oceania,Fiji,398081.22,254220.96,143860.26
Sub-Saharan Africa,Mali,602679.20,197657.60,405021.60
Europe,Greece,736244.80,443447.72,292797.08
Middle East and North Africa,Yemen,2836806.15,2133282.30,703523.85
Asia,Mongolia,1287787.54,760083.87,527703.67
Sub-Saharan Africa,The Gambia,508278.87,352430.73,155848.14
Asia,Uzbekistan,1334329.29,1075643.04,258686.25
Europe,Poland,1461087.10,831832.33,629254.77
Sub-Saharan Africa,Niger,3039848.28,2450513.28,589335.00
Sub-Saharan Africa,Lesotho,3295122.60,2656297.60,638825.00
Sub-Saharan Africa,Democratic Republic of the Congo,29893.50,20027.70,9865.80
Europe,Moldova ,504543.85,379417.70,125126.15
Central America and the Caribbean,Grenada,1055002.88,622688.64,432314.24
Europe,Bulgaria,3101313.39,2680836.19,420477.20
Europe,United Kingdom,299208.64,98129.92,201078.72
Central America and the Caribbean,El Salvador,41927.49,29071.71,12855.78
Sub-Saharan Africa,Lesotho,93123.60,56089.29,37034.31
Sub-Saharan Africa,Democratic Republic of the Congo,1728702.80,984192.44,744510.36
Australia and Oceania,Marshall Islands,34399.71,25514.04,8885.67
Europe,Germany,431167.92,269260.38,161907.54
Sub-Saharan Africa,Liberia,11400.44,6728.82,4671.62
Europe,Montenegro,32953.56,24441.44,8512.12
Europe,Kosovo,3707569.32,3204895.72,502673.60
Asia,Turkmenistan,4195808.40,2527178.01,1668630.39
Asia,India,266099.52,169935.36,96164.16
Sub-Saharan Africa,Seychelles ,75078.51,55685.24,19393.27
Europe,Albania,159194.75,106655.45,52539.30
Europe,Bulgaria,6217101.87,5011793.12,1205308.75
Sub-Saharan Africa,Zambia,110049.50,62653.85,47395.65
Europe,Latvia,4729087.02,3812259.52,916827.50
Australia and Oceania,Tuvalu,1139103.00,984663.00,154440.00
Europe,Bosnia and Herzegovina,749005.12,245647.36,503357.76
Sub-Saharan Africa,Namibia,769909.20,463724.13,306185.07
Europe,Norway,989939.04,632190.72,357748.32
Australia and Oceania,New Zealand,1426756.45,1072922.90,353833.55
Europe,United Kingdom,558134.17,386999.43,171134.74
Middle East and North Africa,Kuwait,113080.04,66742.62,46337.42
Europe,Monaco,113651.20,37273.60,76377.60
Central America and the Caribbean,Cuba,4540236.12,3660021.12,880215.00
Europe,Hungary,1221514.80,762824.70,458690.10
Europe,Macedonia,421883.70,269421.60,152462.10
Sub-Saharan Africa,Ethiopia,2627952.81,2271654.01,356298.80
Middle East and North Africa,United Arab Emirates,1103930.00,664908.25,439021.75
Middle East and North Africa,Tunisia ,929752.10,548762.55,380989.55
Sub-Saharan Africa,Uganda,150321.60,100710.72,49610.88
Sub-Saharan Africa,Malawi,3220852.40,1939952.11,1280900.29
Europe,Lithuania,844604.20,480853.66,363750.54
Central America and the Caribbean,Costa Rica,3936110.30,2959960.60,976149.70
Asia,Kyrgyzstan,4848298.85,3645927.70,1202371.15
Asia,Bangladesh,2009277.60,1143930.48,865347.12
Europe,Malta,1082733.68,639056.04,443677.64
Sub-Saharan Africa,Ethiopia,1488835.84,878747.52,610088.32
Europe,Austria,143020.71,123629.91,19390.80
Sub-Saharan Africa,Ethiopia,1346946.58,795000.99,551945.59
Sub-Saharan Africa,Republic of the Congo,2886394.40,1738504.66,1147889.74
Middle East and North Africa,Iran,1126024.41,973357.61,152666.80
Asia,Bangladesh,5034504.51,4058465.76,976038.75
Europe,Poland,4199743.20,2529547.98,1670195.22
Sub-Saharan Africa,Cape Verde,1242153.78,793259.04,448894.74
Middle East and North Africa,United Arab Emirates,141963.78,114441.28,27522.50
Central America and the Caribbean,El Salvador,724144.68,462450.24,261694.44
Europe,Vatican City,363846.60,243765.72,120080.88
Sub-Saharan Africa,The Gambia,2935932.51,2537877.71,398054.80
Europe,Macedonia,71113.26,52744.24,18369.02
Europe,Slovakia,1021370.52,652263.36,369107.16
Europe,Greece,900795.04,295429.12,605365.92
Europe,Czech Republic,5448022.86,4391815.36,1056207.50
Asia,Kazakhstan,30041.70,17731.35,12310.35
Asia,Maldives,5940252.03,4467078.06,1473173.97
Europe,Ireland,1013436.36,647196.48,366239.88
Sub-Saharan Africa,Liberia,838942.56,275143.68,563798.88
North America,United States of America,355050.72,116444.16,238606.56
Sub-Saharan Africa,Guinea,542932.39,376458.81,166473.58
Australia and Oceania,Samoa ,1259902.68,743625.54,516277.14
Central America and the Caribbean,Belize,22183.84,7275.52,14908.32
Europe,Estonia,229050.88,75120.64,153930.24
Australia and Oceania,Solomon Islands,575796.32,188840.96,386955.36
Central America and the Caribbean,Barbados,5456424.55,4103239.10,1353185.45
Asia,South Korea,137255.68,45015.04,92240.64
Sub-Saharan Africa,Mozambique,167464.77,116116.83,51347.94
Asia,Singapore,33329.31,28810.51,4518.80
North America,Mexico,291885.54,186402.72,105482.82
Sub-Saharan Africa,Botswana,672072.00,220416.00,451656.00
Europe,Liechtenstein,3552735.69,3071054.49,481681.20
Central America and the Caribbean,Antigua and Barbuda ,302968.25,202979.15,99989.10
Europe,Czech Republic,44186.88,32773.12,11413.76
Sub-Saharan Africa,Mali,86128.40,51876.01,34252.39
Europe,Slovakia,533124.79,369658.41,163466.38
Sub-Saharan Africa,Equatorial Guinea,1463570.00,863835.00,599735.00
Europe,Croatia,496774.88,310231.32,186543.56
Sub-Saharan Africa,Sudan,1791441.30,1019910.99,771530.31
Europe,Serbia,15571.77,11549.48,4022.29
Asia,North Korea,722771.46,461573.28,261198.18
Sub-Saharan Africa,Zimbabwe,82626.48,61283.52,21342.96
Europe,Belarus,764850.72,250844.16,514006.56
Sub-Saharan Africa,Madagascar,749545.83,519720.57,229825.26
Sub-Saharan Africa,Zimbabwe,809546.24,265502.72,544043.52
North America,Mexico,506641.38,408418.88,98222.50
Europe,Poland,246808.59,198959.84,47848.75
Sub-Saharan Africa,Namibia,662502.36,423084.48,239417.88
Sub-Saharan Africa,Democratic Republic of the Congo,26366.58,19555.92,6810.66
Central America and the Caribbean,Dominican Republic,247233.25,171426.75,75806.50
Sub-Saharan Africa,Guinea,641351.78,378541.59,262810.19
Australia and Oceania,Tuvalu,23259.69,17251.56,6008.13
Sub-Saharan Africa,Swaziland,515144.19,357191.01,157953.18
Europe,Romania,232049.52,144912.78,87136.74
Central America and the Caribbean,Saint Kitts and Nevis ,2446536.47,1839798.94,606737.53
Sub-Saharan Africa,Cape Verde,2281692.64,1424895.96,856796.68
Sub-Saharan Africa,Mauritius ,804387.28,502332.42,302054.86
Central America and the Caribbean,Dominican Republic,462305.35,309729.97,152575.38
Europe,Russia,2798046.49,2104134.98,693911.51
Europe,Denmark,83867.37,62203.88,21663.49
Sub-Saharan Africa,Zimbabwe,709743.32,492122.28,217621.04
Europe,Georgia,3151205.19,2540281.44,610923.75
Sub-Saharan Africa,Burundi,444672.06,384383.26,60288.80
Europe,Cyprus,5182329.18,4177631.68,1004697.50
Central America and the Caribbean,Dominica,5488501.51,4127361.02,1361140.49
Middle East and North Africa,Egypt,71649.50,48002.90,23646.60
Sub-Saharan Africa,Benin,6234033.33,5025442.08,1208591.25
Asia,Laos,488548.62,422311.02,66237.60
Middle East and North Africa,Saudi Arabia,2974746.39,2571429.19,403317.20
Europe,Montenegro,2138138.52,1848248.92,289889.60
Sub-Saharan Africa,Niger,413390.34,286636.86,126753.48
Australia and Oceania,Papua New Guinea,185149.90,124044.58,61105.32
Europe,Albania,222972.00,134298.30,88673.70
Central America and the Caribbean,Costa Rica,537248.25,433092.00,104156.25
Central America and the Caribbean,El Salvador,434603.26,256513.53,178089.73
Europe,Montenegro,1003741.54,754815.08,248926.46
Asia,Singapore,996613.12,622375.68,374237.44
Australia and Oceania,Solomon Islands,194307.75,130180.05,64127.70
Europe,Georgia,1247188.92,796474.56,450714.36
Sub-Saharan Africa,Sudan,4052844.00,2441069.10,1611774.90
Asia,Uzbekistan,1112236.80,669911.52,442325.28
Asia,Kyrgyzstan,83068.00,50032.70,33035.30
Europe,Switzerland,59991.90,44495.60,15496.30
Sub-Saharan Africa,Chad,1062740.91,918654.11,144086.80
Sub-Saharan Africa,Guinea,82752.80,55441.76,27311.04
Middle East and North Africa,Qatar,2878999.41,2320848.16,558151.25
Europe,San Marino,442634.58,282673.44,159961.14
Europe,Bulgaria,1674892.08,1045954.62,628937.46
Europe,Macedonia,4437996.15,3577602.40,860393.75
Sub-Saharan Africa,South Sudan,99787.35,66854.37,32932.98
Central America and the Caribbean,Trinidad and Tobago,442482.00,282576.00,159906.00
Asia,Sri Lanka,1023811.80,653822.40,369989.40
Europe,Slovakia,783709.60,489419.40,294290.20
Europe,Moldova ,1304101.26,832819.68,471281.58
Europe,Portugal,733666.71,634195.91,99470.80
Europe,Switzerland,3618704.40,2179582.41,1439121.99
Europe,Ireland,636118.88,208624.64,427494.24
Europe,Andorra,5903218.65,4758762.40,1144456.25
Europe,Belarus,224485.95,150398.49,74087.46
Sub-Saharan Africa,Zambia,61344.75,45499.00,15845.75
Europe,Spain,18125.90,12143.78,5982.12
Sub-Saharan Africa,Namibia,1368642.60,874036.80,494605.80
Central America and the Caribbean,The Bahamas,4680897.48,3773412.48,907485.00
Sub-Saharan Africa,Democratic Republic of the Congo,1065478.96,628871.88,436607.08
Middle East and North Africa,United Arab Emirates,314925.12,201116.16,113808.96
Europe,Spain,2328726.96,1877256.96,451470.00
Sub-Saharan Africa,Angola,1934172.80,1164971.92,769200.88
Europe,France,377020.49,261418.71,115601.78
Asia,Kyrgyzstan,505173.13,350277.27,154895.86
Sub-Saharan Africa,Cameroon,76440.69,56695.56,19745.13
Asia,Brunei,737885.61,637842.81,100042.80
Middle East and North Africa,Lebanon,767064.74,452740.47,314324.27
Europe,Croatia,5238333.24,4222778.24,1015555.00
Sub-Saharan Africa,Malawi,664873.55,461010.45,203863.10
Asia,Cambodia,2916118.38,2350770.88,565347.50
Sub-Saharan Africa,Burkina Faso,2222666.02,1671448.04,551217.98
Europe,Macedonia,1251325.74,1081670.54,169655.20
Middle East and North Africa,Tunisia ,5823973.05,4379636.10,1444336.95
Asia,Maldives,1220463.32,720347.46,500115.86
Middle East and North Africa,Kuwait,757712.28,483887.04,273825.24
Sub-Saharan Africa,Liberia,58396.47,43312.28,15084.19
Europe,Montenegro,573064.32,187944.96,385119.36
Central America and the Caribbean,Guatemala,1138965.58,672245.49,466720.09
Middle East and North Africa,Algeria,1072108.40,610377.32,461731.08
Sub-Saharan Africa,Namibia,2163189.99,1626721.98,536468.01
Sub-Saharan Africa,Guinea,774774.80,483839.70,290935.10
Asia,Bhutan,896642.40,294067.20,602575.20
Australia and Oceania,New Zealand,6266367.79,4712317.58,1554050.21
Australia and Oceania,Kiribati,1894702.70,1078700.21,816002.49
Central America and the Caribbean,Saint Vincent and the Grenadines,4945866.27,3719298.54,1226567.73
Sub-Saharan Africa,Burundi,619617.60,203212.80,416404.80
Asia,Cambodia,302924.16,99348.48,203575.68
North America,Canada,6345223.65,4771617.30,1573606.35
Europe,Slovakia,932793.12,582520.68,350272.44
Asia,Japan,416823.00,289017.00,127806.00
Sub-Saharan Africa,Equatorial Guinea,299963.79,259294.59,40669.20
Asia,Brunei,1027232.00,336896.00,690336.00
Sub-Saharan Africa,Cameroon,1461909.90,832300.77,629609.13
Europe,Slovenia,278540.48,164401.44,114139.04
Europe,Vatican City,79360.98,58861.52,20499.46
Sub-Saharan Africa,Lesotho,2760479.19,2225305.44,535173.75
Sub-Saharan Africa,Angola,473426.38,279427.89,193998.49
Europe,Montenegro,720238.26,580605.76,139632.50
Sub-Saharan Africa,Lesotho,13715.10,10172.40,3542.70
Middle East and North Africa,Turkey,442423.80,296409.96,146013.84
Sub-Saharan Africa,Mauritania,749879.36,245934.08,503945.28
Europe,Austria,394167.15,264079.53,130087.62
Australia and Oceania,Australia,2073167.46,1792086.66,281080.80
Sub-Saharan Africa,Niger,6491912.49,5233326.24,1258586.25
North America,Mexico,414061.92,135797.76,278264.16
Europe,Netherlands,1794526.80,1021667.64,772859.16
Europe,France,2703823.92,2179633.92,524190.00
Australia and Oceania,East Timor,228779.10,135031.05,93748.05
Middle East and North Africa,United Arab Emirates,5968990.86,4811783.36,1157207.50
Europe,Cyprus,3352449.60,2019214.44,1333235.16
Europe,Portugal,1965651.20,1183931.68,781719.52
Australia and Oceania,Fiji,6138728.22,4616332.44,1522395.78
Europe,Iceland,2120100.40,1323983.10,796117.30
Europe,Croatia,294998.13,237806.88,57191.25
Sub-Saharan Africa,Botswana,321142.24,200550.36,120591.88
Middle East and North Africa,Yemen,916094.24,300446.72,615647.52
Europe,Austria,994669.02,635211.36,359457.66
Sub-Saharan Africa,Niger,113405.50,75978.10,37427.40
Europe,Kosovo,2489235.28,1554504.42,934730.86
Europe,Czech Republic,479629.92,157301.76,322328.16
Europe,Luxembourg,432744.00,289924.80,142819.20
Europe,Belarus,2244677.04,1401780.06,842896.98
Asia,Cambodia,432188.24,299670.96,132517.28
North America,Canada,119384.20,79983.64,39400.56
Middle East and North Africa,Afghanistan,948943.40,713606.80,235336.60
Asia,Myanmar,758780.34,484569.12,274211.22
Australia and Oceania,Palau,347619.68,114007.04,233612.64
Europe,Albania,3408027.42,2945965.82,462061.60
Sub-Saharan Africa,Togo,3818067.60,2299660.89,1518406.71
Central America and the Caribbean,Nicaragua,4172677.88,3137859.76,1034818.12
Central America and the Caribbean,Panama,414807.90,277908.18,136899.72
Australia and Oceania,Palau,4267572.22,3209220.44,1058351.78
Asia,Mongolia,696222.88,228336.64,467886.24
Europe,Czech Republic,865279.04,283781.12,581497.92
Europe,Moldova ,67959.72,50405.28,17554.44
Asia,Brunei,1840415.58,1383995.16,456420.42
Asia,Philippines,788285.85,546582.15,241703.70
Central America and the Caribbean,Cuba,2320220.40,1397492.31,922728.09
Sub-Saharan Africa,The Gambia,628477.02,401355.36,227121.66
Sub-Saharan Africa,Mozambique,1665997.11,1252832.22,413164.89
Europe,France,590484.60,377092.80,213391.80
Sub-Saharan Africa,Malawi,573719.44,338623.32,235096.12
Asia,Indonesia,938197.70,534138.71,404058.99
Sub-Saharan Africa,Malawi,43464.20,29119.64,14344.56
Middle East and North Africa,Syria,664638.48,424448.64,240189.84
Europe,Kosovo,79127.73,58688.52,20439.21
Central America and the Caribbean,Trinidad and Tobago,806549.70,459188.31,347361.39
Europe,Germany,2228680.45,1675970.90,552709.55
Middle East and North Africa,Jordan,4288956.86,3225301.72,1063655.14
Sub-Saharan Africa,The Gambia,753507.46,444738.63,308768.83
Asia,Indonesia,1545012.70,879613.21,665399.49
Sub-Saharan Africa,Tanzania,2213980.80,1333503.12,880477.68
Central America and the Caribbean,El Salvador,3585936.82,2696629.64,889307.18
Europe,Bulgaria,5524588.09,4154498.18,1370089.91
Central America and the Caribbean,Belize,99522.76,58740.78,40781.98
Sub-Saharan Africa,Mauritania,596552.46,515671.66,80880.80
Sub-Saharan Africa,Sierra Leone,1662893.92,1038461.88,624432.04
Europe,Norway,320381.60,222146.40,98235.20
Sub-Saharan Africa,Botswana,1776425.20,1011361.96,765063.24
Europe,Vatican City,365317.55,244751.21,120566.34
Europe,Lithuania,245553.75,164513.25,81040.50
Central America and the Caribbean,Dominican Republic,66840.12,49574.88,17265.24
Sub-Saharan Africa,Ethiopia,4424971.95,3567103.20,857868.75
Europe,Montenegro,1008545.12,330767.36,677777.76
